Unnamed: 0,item_title,item_picture,item_link,item_brand,item_color,item_price,item_description,item_size,item_initial_views,item_current_views,item_location,item_date_added,item_initial_followers,item_current_followers,query,session_token,date_scrapped,status,raindrop_id,raindrop_last_update,raindrop_collection,raindrop_sort,raindrop_collection_id,item_date_sold,days_elapsed,item_initial_followers2,item_current_followers2,item_price2,gained_views,gained_likes,trend_coefficient,view_score,like_score,item_rating,item_rating_normalized,item_price_normalized,item_final_rating,popularity_score,brand_price,brand_low_price_index
24,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/2987343421-giacca-sartoria-italiana-bottoli,,,,,,,,,,,,,,,,576593086,2023-05-24T15:41:40.455Z,,,32960014,,,,,,,,,,,,,,,,,
25,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/giacche-e-blazer/1508787883-americana-raffaele-caruso,,,,,,,,,,,,,,,,576593083,2023-05-24T15:41:39.223Z,,,32960014,,,,,,,,,,,,,,,,,
26,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/ensembles-costume/1428553875-costume-charles-tyrwhitt,,,,,,,,,,,,,,,,576593079,2023-05-24T15:41:37.965Z,,,32960014,,,,,,,,,,,,,,,,,
27,,,https://www.vinted.fr/heren/kleding/pakken-en-blazers/pakken-en-kostuums/2188993874-costume-homme,,,,,,,,,,,,,,,,576593075,2023-05-24T15:41:36.588Z,,,32960014,,,,,,,,,,,,,,,,,
28,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/ensembles-costume/1099371011-ensemble-de-costumes,,,,,,,,,,,,,,,,576593073,2023-05-24T15:41:35.333Z,,,32960014,,,,,,,,,,,,,,,,,
29,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/3031095783-blazer-hackett-laine-tissu-ecossais,,,,,,,,,,,,,,,,576593071,2023-05-24T15:41:34.024Z,,,32960014,,,,,,,,,,,,,,,,,
30,,,https://www.vinted.fr/heren/kleding/pakken-en-blazers/blazers/3042805181-chaqueta-hacket-london-hombre,,,,,,,,,,,,,,,,576593068,2023-05-24T15:41:32.695Z,,,32960014,,,,,,,,,,,,,,,,,
31,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/ensembles-costume/2909504681-costume-hackett-t52,,,,,,,,,,,,,,,,576593067,2023-05-24T15:41:31.465Z,,,32960014,,,,,,,,,,,,,,,,,
32,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/3026372948-blazer-beige-dete-suitsupply-taille-106-54l,,,,,,,,,,,,,,,,576593064,2023-05-23T13:54:59.945Z,,,32960014,,,,,,,,,,,,,,,,,
33,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/pantaloni-da-completo/3028247357-suitsupply-broek-mt-52,,,,,,,,,,,,,,,,576593063,2023-05-23T13:54:58.540Z,,,32960014,,,,,,,,,,,,,,,,,
34,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/altri-completi-e-blazer/2470958695-giacca-estiva,,,,,,,,,,,,,,,,576593059,2023-05-23T13:54:57.233Z,,,32960014,,,,,,,,,,,,,,,,,
35,,,https://www.vinted.fr/hombre/ropa/trajes-y-blazers/pantalones-de-traje/2856061580-pantaloni-sartoria-vintage-sartoriali-eleganti-homme-hombre-uomo-pantalon,,,,,,,,,,,,,,,,576593057,2023-05-23T13:54:55.848Z,,,32960014,,,,,,,,,,,,,,,,,
36,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/giacche-e-blazer/3026906232-giacca-sartoriale-made-in-italy,,,,,,,,,,,,,,,,576593055,2023-05-23T13:54:54.511Z,,,32960014,,,,,,,,,,,,,,,,,
37,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/pantalons-de-costume/2985532829-pantaloni-grigio-scuro-ottima-vestibilita-taglia-46-girovita41cm,,,,,,,,,,,,,,,,576593053,2023-05-23T13:54:53.059Z,,,32960014,,,,,,,,,,,,,,,,,
38,,,https://www.vinted.fr/homem/roupa/fatos-e-blazers/calcas-de-fato/2809727652-pantalone-loro-piana,,,,,,,,,,,,,,,,576593049,2023-05-23T13:54:51.667Z,,,32960014,,,,,,,,,,,,,,,,,
39,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/3006701025-giacca-uomo,,,,,,,,,,,,,,,,576593046,2023-05-23T13:54:50.339Z,,,32960014,,,,,,,,,,,,,,,,,
40,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/blazers/2911576842-blazer-pire-laine-vierge,,,,,,,,,,,,,,,,576593044,2023-05-23T13:54:48.973Z,,,32960014,,,,,,,,,,,,,,,,,
41,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/completi-pantalone/2904273353-completo-uomo,,,,,,,,,,,,,,,,576593041,2023-05-23T13:54:47.641Z,,,32960014,,,,,,,,,,,,,,,,,
42,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/completi-pantalone/3002566471-vitale-barberis-canonico,,,,,,,,,,,,,,,,576593039,2023-05-23T13:54:46.334Z,,,32960014,,,,,,,,,,,,,,,,,
43,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/pantalons-de-costume/3042009100-pantalon-costume-line,,,,,,,,,,,,,,,,576593037,2023-05-23T13:54:44.954Z,,,32960014,,,,,,,,,,,,,,,,,
44,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/ensembles-costume/2967624968-magnifique-costume-croise-en-prince-de-galles,,,,,,,,,,,,,,,,576593035,2023-05-23T13:54:43.700Z,,,32960014,,,,,,,,,,,,,,,,,
45,,,https://www.vinted.fr/hommes/vetements/costumes-and-blazers/ensembles-costume/2639056423-costume-bleu-nuit-caruso-pour-maison-degand,,,,,,,,,,,,,,,,576593030,2023-05-23T13:54:41.039Z,,,32960014,,,,,,,,,,,,,,,,,
46,,,https://www.vinted.fr/uomo/vestiti/completi-e-blazer/giacche-e-blazer/2879607846-giacca-uomo-boggi-milano-lana-e-cashmere-marrone,,,,,,,,,,,,,,,,576593028,2023-05-23T13:54:39.711Z,,,32960014,,,,,,,,,,,,,,,,,
